Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
78	'info', 'video_allen_3.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_3.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
79	'info', 'video_allen_1.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_1.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
80	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR270S17GCL1288_111,0.000,0.000)	pic(squareR135S17GCL1288_111,0.000,0.000)	pic(squareR90S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
81	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR270S17CCL1288_111,0.000,0.000)	pic(squareR0S17GCL1288_111,0.000,0.000)	pic(squareR45S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
82	'info', 'video_allen_2.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_2.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
83	'info', 'video3.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video3.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
84	'info', 'video_allen_4.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_4.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
85	'info', 'video2.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video2.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
86	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR45S17CCL1288_111,0.000,0.000)	pic(squareR45S17GCL1288_111,0.000,0.000)	pic(squareR0S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
87	'info', 'video5.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video5.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
